Player ID,Name,Pos,Team,Cost,Total Points,Bonus,Points/$,Games,Goals,Assists,xG,xA,xGI,gc,xGc,clean_sheets,def_con,Saves,h_Games,h_Goals,h_Assists,h_xG,h_xA,h_xGI,h_Gc,h_xGc,a_Games,a_Goals,a_Assists,a_xG,a_xA,a_xGI,a_Gc,a_xGc
354,Ampadu,MID,Leeds United,4.9,86,6,17.55,24,1,2,1.62,1.35,2.97,39,33.83,4,284,0,11,1,1,0.38,0.69,1.07,16,11.02,13,0,1,1.24,0.66,1.9,23,22.81
151,Van Hecke,DEF,Brighton,4.4,101,7,22.95,25,3,2,2.05,0.92,2.96,32,34.9,6,208,0,11,2,2,1.76,0.62,2.38,13,14.04,14,1,0,0.29,0.3,0.58,19,20.86
343,Struijk,DEF,Leeds United,4.3,76,3,17.67,24,0,1,2.46,0.48,2.94,38,31.65,4,222,0,12,0,1,1.66,0.22,1.88,17,13.87,12,0,0,0.8,0.26,1.06,21,17.78
455,Mount,MID,Manchester Utd,5.9,46,3,7.8,17,3,0,1.54,1.4,2.94,14,10.3,3,62,0,9,1,0,0.57,0.73,1.3,6,3.82,8,2,0,0.97,0.67,1.64,8,6.48
18,Madueke,MID,Arsenal,6.8,51,6,7.5,19,2,1,0.96,1.98,2.94,7,8.68,5,46,0,9,0,0,0.3,1.31,1.61,3,3.61,10,2,1,0.66,0.67,1.33,4,5.07
525,Wood,FWD,Nott'ham Forest,7.2,25,3,3.47,8,2,0,2.81,0.11,2.92,8,7.84,1,14,0,4,2,0,2.14,0.01,2.15,3,3.28,4,0,0,0.67,0.1,0.77,5,4.56
5,Gabriel,DEF,Arsenal,7.1,144,18,20.28,22,3,3,1.84,1.02,2.86,14,12.9,12,186,0,10,1,0,0.91,0.17,1.08,4,4.47,12,2,3,0.93,0.85,1.78,10,8.43
668,Xhaka,MID,Sunderland,5.1,91,5,17.84,23,1,5,0.59,2.27,2.86,24,31.68,7,242,0,12,1,4,0.17,1.3,1.47,10,13.47,11,0,1,0.42,0.97,1.39,14,18.21
113,Van den Berg,DEF,Brentford,4.5,71,3,15.78,22,0,1,2.37,0.48,2.85,31,29.23,4,193,0,11,0,1,2.03,0.38,2.41,13,12.71,11,0,0,0.34,0.1,0.44,18,16.52
228,Gusto,DEF,Chelsea,4.9,83,7,16.94,24,2,2,1.46,1.37,2.83,20,25.78,7,90,0,12,2,2,1.12,0.69,1.81,12,13.74,12,0,0,0.34,0.68,1.02,8,12.04
403,Gvardiol,DEF,Manchester City,5.9,77,5,13.05,16,2,2,2.19,0.64,2.83,13,15.29,6,99,0,8,2,0,1.32,0.42,1.74,4,7.02,8,0,2,0.87,0.22,1.09,9,8.27
749,Mané,FWD,Wolves,4.6,48,6,10.43,17,2,2,1.23,1.59,2.82,18,19.53,3,85,0,8,1,1,0.43,0.89,1.32,9,9.25,9,1,1,0.8,0.7,1.5,9,10.28
531,Ballard,DEF,Sunderland,4.6,101,8,21.96,23,2,2,2.23,0.57,2.8,26,26.96,5,211,0,11,2,2,1.67,0.34,2.01,11,11.64,12,0,0,0.56,0.23,0.79,15,15.32
317,Andersen,DEF,Fulham,4.5,93,5,20.67,26,0,1,1.26,1.54,2.8,38,35.4,5,265,0,13,0,1,0.42,1.22,1.64,15,15.61,13,0,0,0.84,0.32,1.16,23,19.79
373,Virgil,DEF,Liverpool,6.0,122,9,20.33,27,2,1,2.02,0.77,2.79,35,31.64,9,258,0,13,0,0,0.72,0.41,1.13,14,13.95,14,2,1,1.3,0.36,1.66,21,17.69
490,Joelinton,MID,Newcastle Utd,5.9,56,2,9.49,20,2,0,1.78,0.98,2.76,18,17.82,5,174,0,11,1,0,0.98,0.48,1.46,12,11.72,9,1,0,0.8,0.5,1.3,6,6.1
37,Digne,DEF,Aston Villa,4.5,72,4,16.0,23,0,4,0.54,2.21,2.75,13,20.25,6,78,0,10,0,2,0.32,1.19,1.51,2,6.55,13,0,2,0.22,1.02,1.24,11,13.7
276,Devenny,MID,Crystal Palace,4.3,29,0,6.74,18,1,0,2.38,0.36,2.74,10,10.05,1,48,0,8,0,0,0.84,0.26,1.1,3,4.26,10,1,0,1.54,0.1,1.64,7,5.79
162,Gruda,MID,Brighton,5.4,35,2,6.48,18,1,1,1.86,0.88,2.74,11,13.82,2,58,0,9,1,0,1.42,0.4,1.82,7,7.35,9,0,1,0.44,0.48,0.92,4,6.47
270,Hughes,MID,Crystal Palace,4.7,37,0,7.87,24,0,1,1.06,1.66,2.72,13,18.24,5,117,0,13,0,0,0.5,1.04,1.54,5,8.18,11,0,1,0.56,0.62,1.18,8,10.06
106,Collins,DEF,Brentford,5.0,93,7,18.6,25,1,2,1.58,1.13,2.71,32,31.46,5,237,0,13,0,1,1.06,1.03,2.09,13,17.24,12,1,1,0.52,0.1,0.62,19,14.22
125,Janelt,MID,Brentford,4.9,70,6,14.29,22,1,4,0.82,1.88,2.7,16,20.22,5,164,0,11,0,1,0.45,0.89,1.34,8,10.73,11,1,3,0.37,0.99,1.36,8,9.49
328,Sessegnon,MID,Fulham,5.4,73,5,13.52,20,2,3,1.01,1.69,2.7,28,23.15,4,175,0,10,1,2,0.45,1.27,1.72,10,9.62,10,1,1,0.56,0.42,0.98,18,13.53
173,Wieffer,MID,Brighton,4.9,60,3,12.24,17,0,4,1.2,1.49,2.69,17,17.13,4,192,0,8,0,3,0.66,0.6,1.26,8,8.99,9,0,1,0.54,0.89,1.43,9,8.14
636,S.Bueno,DEF,Wolves,4.4,64,2,14.55,19,2,2,1.63,1.04,2.67,30,27.36,3,137,0,9,0,2,0.11,0.5,0.61,15,12.84,10,2,0,1.52,0.54,2.06,15,14.52
726,Kolo Muani,FWD,Tottenham,6.9,35,1,5.07,19,1,0,1.53,1.11,2.64,22,17.74,3,74,0,11,1,0,1.53,0.61,2.14,14,9.94,8,0,0,0.0,0.5,0.5,8,7.8
110,Kayode,DEF,Brentford,4.5,73,6,16.22,26,0,1,0.27,2.36,2.63,34,35.62,6,162,0,13,0,1,0.19,0.9,1.09,12,17.03,13,0,0,0.08,1.46,1.54,22,18.59
486,Elanga,MID,Newcastle Utd,6.5,36,0,5.54,23,0,1,1.25,1.38,2.63,22,14.44,2,39,0,11,0,0,0.6,0.81,1.41,10,4.69,12,0,1,0.65,0.57,1.22,12,9.75
