Player ID,Name,Pos,Team,Cost,opponent,team_Oi,opponent_Di,xGI,projected GI,team_Di,opponent_Oi,xGc,projected Gc,projected net goals
371,Kerkez,DEF,Liverpool,6.0,Arsenal,2.69,0.0,0.005,0.0,1.54,2.31,0.87,2.01,-2.01
374,Konaté,DEF,Liverpool,5.5,Arsenal,2.69,0.0,0.005,0.0,1.54,2.31,1.315,3.04,-3.04
90,Scott,MID,Bournemouth,5.0,Tottenham,1.15,0.0,0.04,0.0,1.54,1.92,1.11,2.13,-2.13
85,Adams,MID,Bournemouth,5.0,Tottenham,1.15,0.0,0.07,0.0,1.54,1.92,1.255,2.41,-2.41
269,Esse,MID,Crystal Palace,5.0,Aston Villa,0.38,0.38,0.01,0.0,0.38,0.0,0.27,0.0,0.0
679,Hermansen,GK,West Ham,4.5,Nott'ham Forest,0.38,0.77,0.005,0.0,3.08,1.54,1.71,2.63,-2.63
609,Todibo,DEF,West Ham,4.5,Nott'ham Forest,0.38,0.77,0.005,0.0,3.08,1.54,1.13,1.74,-1.74
366,A.Becker,GK,Liverpool,5.5,Arsenal,2.69,0.0,0.005,0.0,1.54,2.31,1.315,3.04,-3.04
637,Toti,DEF,Wolves,4.5,Everton,0.0,0.38,0.0,0.0,1.92,0.77,1.595,1.23,-1.23
2,Arrizabalaga,GK,Arsenal,4.5,Liverpool,2.31,1.54,,,0.0,2.69,,,
3,Hein,GK,Arsenal,4.0,Liverpool,2.31,1.54,,,0.0,2.69,,,
4,Setford,GK,Arsenal,4.0,Liverpool,2.31,1.54,,,0.0,2.69,,,
9,Kiwior,DEF,Arsenal,5.5,Liverpool,2.31,1.54,,,0.0,2.69,,,
12,Zinchenko,DEF,Arsenal,5.0,Liverpool,2.31,1.54,,,0.0,2.69,,,
13,Clarke,DEF,Arsenal,4.0,Liverpool,2.31,1.54,,,0.0,2.69,,,
14,Kacurri,DEF,Arsenal,4.0,Liverpool,2.31,1.54,,,0.0,2.69,,,
15,Nichols,DEF,Arsenal,4.0,Liverpool,2.31,1.54,,,0.0,2.69,,,
23,Fábio Vieira,MID,Arsenal,5.5,Liverpool,2.31,1.54,,,0.0,2.69,,,
24,Nørgaard,MID,Arsenal,5.4,Liverpool,2.31,1.54,,,0.0,2.69,,,
27,Nelson,MID,Arsenal,5.0,Liverpool,2.31,1.54,,,0.0,2.69,,,
28,Kabia,MID,Arsenal,4.5,Liverpool,2.31,1.54,,,0.0,2.69,,,
29,Sambi,MID,Arsenal,4.5,Liverpool,2.31,1.54,,,0.0,2.69,,,
31,G.Jesus,FWD,Arsenal,6.5,Liverpool,2.31,1.54,,,0.0,2.69,,,
34,Gauci,GK,Aston Villa,4.0,Crystal Palace,0.0,0.38,,,0.38,0.38,,,
35,Marschall,GK,Aston Villa,4.0,Crystal Palace,0.0,0.38,,,0.38,0.38,,,
42,A.García,DEF,Aston Villa,4.0,Crystal Palace,0.0,0.38,,,0.38,0.38,,,
43,Alex Moreno,DEF,Aston Villa,4.0,Crystal Palace,0.0,0.38,,,0.38,0.38,,,
45,Sousa,DEF,Aston Villa,4.0,Crystal Palace,0.0,0.38,,,0.38,0.38,,,
46,Yasin,DEF,Aston Villa,4.0,Crystal Palace,0.0,0.38,,,0.38,0.38,,,
49,Bailey,MID,Aston Villa,5.5,Crystal Palace,0.0,0.38,,,0.38,0.38,,,
51,Iling Jr,MID,Aston Villa,5.5,Crystal Palace,0.0,0.38,,,0.38,0.38,,,
55,Barkley,MID,Aston Villa,4.9,Crystal Palace,0.0,0.38,,,0.38,0.38,,,
